run_name,pretrain_optimizer,finetune_type,finetune_optimizer,name_suffix,step,tensor_name,matrix_type,matrix_group,tensor_subtype,layer,expert_index,shape_0,shape_1,min_dim,effective_rank,stable_rank
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.embed_tokens.weight,embedding,embedding,,,,163840,2048,2048,1836.2932,57.698923
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.0.mlp.down_proj.weight,shared_mlp_down_proj,mlp_shared,down_proj,0,,2048,11264,2048,1855.0921,121.54448
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.0.mlp.gate_proj.weight,shared_mlp_gate_proj,mlp_shared,gate_proj,0,,11264,2048,2048,1896.9814,80.8243
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.0.mlp.up_proj.weight,shared_mlp_up_proj,mlp_shared,up_proj,0,,11264,2048,2048,1934.0231,80.303633
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.0.self_attn.kv_a_proj_with_mqa.weight,kv_a_proj,kv_proj,kv_a,0,,576,2048,576,469.44802,18.907942
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.0.self_attn.kv_b_proj.weight,kv_b_proj,kv_proj,kv_b,0,,4096,512,512,351.5493,37.796822
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.0.self_attn.o_proj.weight,o_proj,o_proj,,0,,2048,2048,2048,1259.2226,28.438988
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.0.self_attn.q_proj.weight,q_proj,q_proj,,0,,3072,2048,2048,997.13977,14.57242
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.0.down_proj.weight,moe_down_proj,moe_ffn,down_proj,1,0,2048,1408,1408,1206.7475,91.237558
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.0.gate_proj.weight,moe_gate_proj,moe_ffn,gate_proj,1,0,1408,2048,1408,1135.8955,126.88174
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.0.up_proj.weight,moe_up_proj,moe_ffn,up_proj,1,0,1408,2048,1408,1153.7026,208.22988
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.1.down_proj.weight,moe_down_proj,moe_ffn,down_proj,1,1,2048,1408,1408,1185.913,122.51612
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.1.gate_proj.weight,moe_gate_proj,moe_ffn,gate_proj,1,1,1408,2048,1408,1116.947,99.442073
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.1.up_proj.weight,moe_up_proj,moe_ffn,up_proj,1,1,1408,2048,1408,1135.8516,131.50012
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.10.down_proj.weight,moe_down_proj,moe_ffn,down_proj,1,10,2048,1408,1408,1215.2775,111.59233
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.10.gate_proj.weight,moe_gate_proj,moe_ffn,gate_proj,1,10,1408,2048,1408,1099.2459,87.934203
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.10.up_proj.weight,moe_up_proj,moe_ffn,up_proj,1,10,1408,2048,1408,1132.9949,159.76864
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.11.down_proj.weight,moe_down_proj,moe_ffn,down_proj,1,11,2048,1408,1408,1205.6813,151.44741
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.11.gate_proj.weight,moe_gate_proj,moe_ffn,gate_proj,1,11,1408,2048,1408,1129.5558,120.45871
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.11.up_proj.weight,moe_up_proj,moe_ffn,up_proj,1,11,1408,2048,1408,1150.4426,212.1257
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.12.down_proj.weight,moe_down_proj,moe_ffn,down_proj,1,12,2048,1408,1408,1189.557,141.84418
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.12.gate_proj.weight,moe_gate_proj,moe_ffn,gate_proj,1,12,1408,2048,1408,1097.626,85.203106
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.12.up_proj.weight,moe_up_proj,moe_ffn,up_proj,1,12,1408,2048,1408,1123.3348,152.9049
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.13.down_proj.weight,moe_down_proj,moe_ffn,down_proj,1,13,2048,1408,1408,1192.9269,100.26067
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.13.gate_proj.weight,moe_gate_proj,moe_ffn,gate_proj,1,13,1408,2048,1408,1135.8653,102.44342
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.13.up_proj.weight,moe_up_proj,moe_ffn,up_proj,1,13,1408,2048,1408,1153.5974,173.10556
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.14.down_proj.weight,moe_down_proj,moe_ffn,down_proj,1,14,2048,1408,1408,1193.3973,70.017924
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.14.gate_proj.weight,moe_gate_proj,moe_ffn,gate_proj,1,14,1408,2048,1408,1130.9835,139.05962
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.14.up_proj.weight,moe_up_proj,moe_ffn,up_proj,1,14,1408,2048,1408,1153.6752,199.99609
adam_ckpt_driving_fullft_muon,adam,full,muon,,200,model.layers.1.mlp.experts.15.down_proj.weight,moe_down_proj,moe_ffn,down_proj,1,15,2048,1408,1408,1209.2728,187.63236
